sku,variant_id,asset_role,source_kind,source_reference,rights_evidence_reference,captured_at,sha256,planned_use,owner,status,notes
RU-001,base,front_main,,,,,,main_image,,pending,
RU-001,base,back,,,,,,detail_image,,pending,
RU-001,base,side,,,,,,detail_image,,pending,
RU-001,base,detail,,,,,,detail_image,,pending,
RU-001,base,accessories,,,,,,detail_image,,pending,
RU-001,base,packaging,,,,,,detail_image,,pending,
RU-001,base,scale_reference,,,,,,infographic,,pending,
RU-002,base,front_main,,,,,,main_image,,pending,
RU-002,base,back,,,,,,detail_image,,pending,
RU-002,base,side,,,,,,detail_image,,pending,
RU-002,base,detail,,,,,,detail_image,,pending,
RU-002,base,accessories,,,,,,detail_image,,pending,
RU-002,base,packaging,,,,,,detail_image,,pending,
RU-002,base,scale_reference,,,,,,infographic,,pending,
RU-003,base,front_main,,,,,,main_image,,pending,
RU-003,base,back,,,,,,detail_image,,pending,
RU-003,base,side,,,,,,detail_image,,pending,
RU-003,base,detail,,,,,,detail_image,,pending,
RU-003,base,accessories,,,,,,detail_image,,pending,
RU-003,base,packaging,,,,,,detail_image,,pending,
RU-003,base,scale_reference,,,,,,infographic,,pending,
